character,G_x,G_y,M,Euclid
孔,240,261,27494,14.866068747318506
功,277,258,29300,28.160255680657446
巧,266,223,25091,31.38470965295043
広,254,272,28200,22.360679774997898
甲,248,197,29236,53.03772242470448
交,254,254,27204,5.656854249492381
光,265,265,28323,21.213203435596427
向,253,260,31572,10.44030650891055
后,251,261,29903,11.045361017187261
好,241,237,31644,15.811388300841896
江,239,266,22567,19.4164878389476
考,259,241,32163,12.727922061357855
行,246,245,26527,6.4031242374328485
坑,254,256,31856,7.211102550927978
孝,259,239,33475,14.212670403551895
抗,245,259,34636,10.295630140987
攻,257,258,30487,10.63014581273465
更,243,241,35247,11.40175425099138
効,268,254,33639,18.439088914585774
幸,251,238,31242,12.041594578792296
拘,264,252,35414,14.142135623730951
肯,253,253,35454,4.242640687119285
侯,256,248,36894,6.324555320336759
厚,249,230,42405,20.024984394500787
恒,243,251,37969,7.0710678118654755
洪,258,246,31414,8.94427190999916
皇,247,274,36005,24.186773244895647
紅,220,266,32146,34.0
荒,248,250,33975,2.0
郊,263,233,34193,21.400934559032695
香,253,253,36515,4.242640687119285
候,252,250,38142,2.0
校,248,251,34596,2.23606797749979
耕,243,242,41452,10.63014581273465
航,241,261,40433,14.212670403551895
貢,254,239,37563,11.704699910719626
降,227,238,39424,25.942243542145693
高,254,260,35740,10.770329614269007
康,255,253,42310,5.830951894845301
控,252,256,38116,6.324555320336759
梗,251,244,41673,6.082762530298219
黄,246,250,40766,4.0
喉,253,244,37834,6.708203932499369
慌,243,248,40051,7.280109889280518
港,257,254,37677,8.06225774829855
硬,250,236,41724,14.0
絞,238,257,37728,13.892443989449804
項,276,237,36208,29.068883707497267
溝,266,252,44009,16.1245154965971
鉱,244,268,37940,18.973665961010276
構,257,250,47264,7.0
綱,266,248,49141,16.1245154965971
酵,239,249,45370,11.045361017187261
稿,261,255,44221,12.083045973594572
興,248,232,45863,18.110770276274835
衡,244,250,42177,6.0
鋼,271,245,48491,21.587033144922902
講,257,254,49163,8.06225774829855
購,249,250,49837,1.0
乞,247,274,26723,24.186773244895647
号,254,225,27939,25.317977802344327
合,250,265,28355,15.0
拷,256,245,39581,7.810249675906654
剛,251,249,45415,1.4142135623730951
傲,249,254,43038,4.123105625617661
豪,239,251,43755,11.045361017187261
克,260,260,31115,14.142135623730951
告,245,258,30213,9.433981132056603
谷,253,258,30839,8.54400374531753
刻,271,253,34564,21.213203435596427
国,247,242,40035,8.54400374531753
黒,248,241,39925,9.219544457292887
穀,240,253,43051,10.44030650891055
酷,234,259,45010,18.35755975068582
獄,249,252,40722,2.23606797749979
骨,249,234,37632,16.0312195418814
駒,247,251,42979,3.1622776601683795
込,240,282,28646,33.52610922848042
頃,256,234,36995,17.08800749063506
今,261,244,23723,12.529964086141668
困,246,240,38929,10.770329614269007
昆,242,253,34566,8.54400374531753
恨,240,246,39039,10.770329614269007
根,246,246,38921,5.656854249492381
婚,259,253,42660,9.486832980505138
混,259,250,36599,9.0
痕,245,257,39761,8.602325267042627
紺,242,254,42244,8.94427190999916
魂,263,263,41913,18.384776310850235
墾,254,258,42702,8.94427190999916
懇,249,253,43030,3.1622776601683795
左,253,280,25397,30.14962686336267
佐,249,261,30624,11.045361017187261
沙,249,247,25806,3.1622776601683795
査,250,276,37977,26.0
砂,244,245,32306,7.810249675906654
唆,248,255,34827,5.385164807134504
差,260,266,33282,18.867962264113206
詐,237,248,34790,13.152946437965905
鎖,257,257,44580,9.899494936611665
座,252,265,36467,15.132745950421556
挫,247,268,37643,18.24828759089466
才,265,248,22881,15.132745950421556
再,250,237,35753,13.0
災,247,252,29177,3.605551275463989
妻,255,257,41389,8.602325267042627
采,253,247,29722,4.242640687119285
砕,248,243,33954,7.280109889280518
宰,248,233,33821,17.11724276862369
栽,251,256,38360,6.082762530298219
彩,250,243,32240,7.0
採,248,250,36869,2.0
済,256,243,33876,9.219544457292887
祭,245,246,36486,6.4031242374328485
斎,249,251,37224,1.4142135623730951
細,256,261,42066,12.529964086141668
菜,252,246,34914,4.47213595499958
最,246,242,42420,8.94427190999916
裁,252,262,40816,12.165525060596439
債,263,253,42997,13.341664064126334
催,259,254,42277,9.848857801796104
塞,249,261,43021,11.045361017187261
歳,257,264,39460,15.652475842498529
載,243,257,45368,9.899494936611665
際,232,240,43504,20.591260281974
埼,260,244,34804,11.661903789690601
在,249,264,30980,14.035668847618199
材,250,250,31767,0.0
剤,267,248,38843,17.11724276862369
財,232,247,37341,18.24828759089466
罪,247,229,40384,21.213203435596427
崎,247,246,36969,5.0
作,250,237,29811,13.0
削,257,255,38734,8.602325267042627
昨,224,237,33030,29.068883707497267
柵,259,243,46608,11.40175425099138
索,251,246,35972,4.123105625617661
策,253,241,38368,9.486832980505138
酢,224,248,40241,26.076809620810597
搾,256,233,39146,18.027756377319946
錯,250,255,43627,5.0
咲,246,245,31956,6.4031242374328485
冊,251,236,40681,14.035668847618199
札,237,261,27316,17.029386365926403
刷,269,247,41758,19.235384061671343
刹,273,254,36002,23.345235059857504
拶,256,242,35832,10.0
殺,251,251,39423,1.4142135623730951
察,242,243,40716,10.63014581273465
撮,257,248,47362,7.280109889280518
擦,251,249,44888,1.4142135623730951
雑,250,253,43753,3.0
皿,246,257,30992,8.06225774829855
三,250,265,20306,15.0
山,256,290,24042,40.44749683231337
参,248,247,32080,3.605551275463989
桟,258,251,39573,8.06225774829855
蚕,251,247,39973,3.1622776601683795
惨,239,244,38791,12.529964086141668
産,252,267,38074,17.11724276862369
傘,253,252,33713,3.605551275463989
散,234,252,43086,16.1245154965971
算,246,241,40744,9.848857801796104
酸,233,258,46481,18.788294228055936
賛,251,247,41235,3.1622776601683795
残,258,246,40024,8.94427190999916
斬,231,243,39546,20.248456731316587
暫,237,238,42154,17.69180601295413
士,248,282,21954,32.0624390837628
子,252,223,23269,27.073972741361768
支,252,270,27006,20.09975124224178
止,244,304,24055,54.3323108288245
氏,244,264,28699,15.231546211727817
仕,245,259,26819,10.295630140987
史,242,261,29227,13.601470508735444
司,276,223,29825,37.48332962798263
四,251,231,32571,19.026297590440446
市,252,229,29232,21.095023109728988
矢,245,259,27334,10.295630140987
旨,237,256,31197,14.317821063276353
死,254,240,32154,10.770329614269007
糸,252,262,27465,12.165525060596439
至,248,257,31150,7.280109889280518
伺,278,241,34128,29.410882339705484
志,250,270,30608,20.0
私,239,264,33005,17.804493814764857
使,249,253,36716,3.1622776601683795
刺,269,248,38930,19.1049731745428
始,254,259,37175,9.848857801796104
姉,256,244,37424,8.48528137423857
枝,246,258,35052,8.94427190999916
祉,238,268,32624,21.633307652783937
肢,239,258,39014,13.601470508735444
姿,255,263,35653,13.92838827718412
思,248,241,37417,9.219544457292887
指,262,256,38444,13.416407864998739
施,258,266,40474,17.88854381999832
師,240,235,40019,18.027756377319946
恣,256,267,31751,18.027756377319946
紙,238,262,41060,16.97056274847714
脂,258,255,42657,9.433981132056603
視,263,246,41003,13.601470508735444
紫,252,244,36602,6.324555320336759
詞,267,243,38731,18.384776310850235
歯,250,266,41750,16.0
嗣,248,240,47433,10.198039027185569
試,245,260,37283,11.180339887498949
詩,246,252,38448,4.47213595499958
資,249,251,37845,1.4142135623730951
飼,265,247,41976,15.297058540778355
誌,250,267,38083,17.0
雌,253,254,44856,5.0
摯,245,236,41680,14.866068747318506
賜,257,236,44520,15.652475842498529
諮,244,258,40512,10.0
示,252,239,26465,11.180339887498949
字,249,231,29979,19.026297590440446
寺,257,244,29530,9.219544457292887
次,258,257,25088,10.63014581273465
耳,250,223,32117,27.0
自,248,261,32519,11.180339887498949
似,247,259,30118,9.486832980505138
