character,G_x,G_y,M,Euclid
押,251,231,37479,19.026297590440446
旺,219,257,31797,31.78049716414141
欧,219,249,34952,31.016124838541646
殴,232,244,38133,18.973665961010276
桜,245,251,36132,5.0990195135927845
翁,259,265,35524,17.4928556845359
奥,255,252,35298,5.385164807134504
横,254,243,43070,8.06225774829855
岡,247,243,38512,7.615773105863909
屋,246,253,35031,5.0
億,250,260,39652,10.0
憶,247,255,41524,5.830951894845301
臆,241,253,43636,9.486832980505138
虞,252,251,39667,2.23606797749979
乙,241,286,20489,37.107950630558946
俺,253,256,40754,6.708203932499369
卸,255,250,37992,5.0
音,256,257,27252,9.219544457292887
恩,250,258,33740,8.0
温,247,268,37856,18.24828759089466
穏,257,253,38292,7.615773105863909
下,263,217,16325,35.4682957019364
化,249,265,30404,15.033296378372908
火,254,261,20851,11.704699910719626
加,269,261,33621,21.95449840010015
可,272,238,26099,25.059928172283335
仮,241,259,34442,12.727922061357855
何,258,248,33198,8.246211251235321
花,257,254,30628,8.06225774829855
佳,243,253,30409,7.615773105863909
価,256,260,42006,11.661903789690601
果,258,242,33742,11.313708498984761
河,262,245,31463,13.0
苛,264,237,28820,19.1049731745428
科,243,241,31106,11.40175425099138
架,261,244,33274,12.529964086141668
夏,252,259,34778,9.219544457292887
家,250,252,31888,2.0
荷,254,245,35248,6.4031242374328485
華,259,234,34544,18.35755975068582
菓,256,245,35566,7.810249675906654
貨,261,244,33907,12.529964086141668
渦,262,256,40079,13.416407864998739
過,264,267,41918,22.02271554554524
嫁,248,250,40615,2.0
暇,229,240,43515,23.259406699226016
禍,265,253,42857,15.297058540778355
靴,237,244,42248,14.317821063276353
寡,255,251,36790,5.0990195135927845
歌,236,247,38598,14.317821063276353
箇,256,251,40698,6.082762530298219
稼,247,248,38998,3.605551275463989
課,254,247,40814,5.0
蚊,232,255,37188,18.681541692269406
牙,256,241,25360,10.816653826391969
瓦,252,275,29487,25.079872407968907
我,254,254,34005,5.656854249492381
画,250,261,42796,11.0
芽,260,233,29404,19.72308292331602
賀,261,244,34802,12.529964086141668
雅,257,245,41360,8.602325267042627
餓,255,253,47565,5.830951894845301
介,250,248,21614,2.0
回,245,248,33891,5.385164807134504
灰,238,247,27719,12.36931687685298
会,254,268,25982,18.439088914585774
快,240,245,32884,11.180339887498949
戒,265,261,33434,18.601075237738275
改,240,260,32565,14.142135623730951
怪,245,247,34354,5.830951894845301
拐,254,248,33633,4.47213595499958
悔,247,250,41418,3.0
海,252,256,37659,6.324555320336759
界,249,234,31604,16.0312195418814
皆,249,240,34524,10.04987562112089
械,259,251,41501,9.055385138137417
絵,231,260,35394,21.470910553583888
開,252,240,43916,10.198039027185569
階,231,241,41692,21.02379604162864
塊,259,253,40147,9.486832980505138
楷,252,245,41430,5.385164807134504
解,243,242,39784,10.63014581273465
潰,257,251,38190,7.0710678118654755
壊,255,245,41340,7.0710678118654755
懐,250,249,42986,1.0
諧,256,255,40593,7.810249675906654
貝,264,246,25253,14.560219778561036
外,251,235,27686,15.033296378372908
劾,265,247,35234,15.297058540778355
害,256,247,29944,6.708203932499369
崖,250,257,34337,7.0
涯,249,253,35455,3.1622776601683795
街,245,250,37270,5.0
慨,252,242,45257,8.246211251235321
蓋,254,267,36728,17.46424919657298
該,248,257,32536,7.280109889280518
概,253,243,46557,7.615773105863909
骸,236,243,40500,15.652475842498529
垣,247,253,30610,4.242640687119285
柿,250,252,37842,2.0
各,255,254,28296,6.4031242374328485
角,268,246,29270,18.439088914585774
拡,231,260,35463,21.470910553583888
革,254,231,30021,19.4164878389476
格,242,251,37002,8.06225774829855
核,247,246,34987,5.0
殻,252,249,38336,2.23606797749979
郭,257,243,36902,9.899494936611665
覚,255,256,35003,7.810249675906654
較,231,248,38706,19.1049731745428
隔,239,257,42541,13.038404810405298
閣,248,244,46190,6.324555320336759
確,250,253,43395,3.0
獲,258,247,43647,8.54400374531753
嚇,246,245,46440,6.4031242374328485
穫,257,243,44455,9.899494936611665
学,259,228,24739,23.769728648009426
岳,254,263,29811,13.601470508735444
楽,257,251,33386,7.0710678118654755
額,247,248,42663,3.605551275463989
顎,252,238,40694,12.165525060596439
掛,244,248,38155,6.324555320336759
潟,256,253,35116,6.708203932499369
括,242,255,34431,9.433981132056603
