character,G_x,G_y,M,Euclid
血,248,282,38231,32.0624390837628
決,257,253,33492,7.615773105863909
結,245,262,43018,13.0
傑,255,244,46324,7.810249675906654
潔,261,243,41950,13.038404810405298
月,277,231,31914,33.015148038438355
犬,254,249,26598,4.123105625617661
件,239,237,33358,17.029386365926403
見,254,240,39556,10.770329614269007
券,247,245,40513,5.830951894845301
肩,257,235,48211,16.55294535724685
建,257,252,47631,7.280109889280518
研,247,231,43081,19.235384061671343
県,245,235,41697,15.811388300841896
倹,250,253,43069,3.0
兼,253,246,47721,5.0
剣,260,247,42869,10.44030650891055
拳,248,247,46851,3.605551275463989
軒,228,231,41053,29.068883707497267
健,258,254,50350,8.94427190999916
険,230,244,47675,20.8806130178211
圏,250,242,55549,8.0
堅,239,243,47116,13.038404810405298
検,247,249,44359,3.1622776601683795
嫌,255,246,51166,6.4031242374328485
献,235,250,46662,15.0
絹,260,251,49096,10.04987562112089
遣,263,260,47520,16.401219466856727
権,257,251,49721,7.0710678118654755
憲,251,250,49813,1.0
賢,241,235,49378,17.4928556845359
謙,253,250,51524,3.0
鍵,253,252,52355,3.605551275463989
繭,251,252,55601,2.23606797749979
顕,245,238,53838,13.0
験,239,246,51140,11.704699910719626
懸,246,242,48567,8.94427190999916
元,255,242,30836,9.433981132056603
幻,257,263,31350,14.7648230602334
玄,247,261,31787,11.40175425099138
言,249,239,39611,11.045361017187261
弦,243,257,38973,9.899494936611665
限,234,236,46882,21.2602916254693
原,249,237,43091,13.038404810405298
現,256,234,45056,17.08800749063506
舷,238,262,45500,16.97056274847714
減,259,254,43889,9.848857801796104
源,260,243,43669,12.206555615733702
厳,245,255,50101,7.0710678118654755
己,244,248,29720,6.324555320336759
戸,243,200,29006,50.48762224545735
古,249,264,31219,14.035668847618199
呼,233,233,38137,24.041630560342615
固,248,244,46407,6.324555320336759
股,239,245,44850,12.083045973594572
虎,260,258,39260,12.806248474865697
孤,246,255,43697,6.4031242374328485
弧,246,253,43266,5.0
故,240,260,39980,14.142135623730951
枯,246,258,38435,8.94427190999916
個,269,254,47734,19.4164878389476
庫,253,247,48690,4.242640687119285
湖,277,247,43145,27.16615541441225
雇,255,244,51813,7.810249675906654
誇,241,246,43439,9.848857801796104
鼓,239,251,45197,11.045361017187261
錮,261,249,52542,11.045361017187261
顧,246,241,54658,9.848857801796104
五,250,258,32240,8.0
互,248,254,34657,4.47213595499958
午,238,224,25211,28.635642126552707
呉,248,243,36860,7.280109889280518
後,248,263,41274,13.152946437965905
娯,251,246,43023,4.123105625617661
悟,254,244,43863,7.211102550927978
碁,245,250,48863,5.0
語,248,248,46950,2.8284271247461903
誤,244,243,43093,9.219544457292887
護,251,249,52538,1.4142135623730951
口,250,244,27585,6.0
工,248,257,23135,7.280109889280518
公,247,269,27250,19.235384061671343
勾,271,251,30982,21.02379604162864
孔,239,258,29908,13.601470508735444
功,263,250,32258,13.0
巧,262,222,29861,30.463092423455635
広,240,266,31740,18.867962264113206
甲,249,204,35449,46.010868281309364
交,248,252,31351,2.8284271247461903
光,255,261,31424,12.083045973594572
向,249,254,34478,4.123105625617661
后,245,259,37158,10.295630140987
好,235,245,35801,15.811388300841896
江,246,256,26948,7.211102550927978
考,258,235,37308,17.0
行,246,237,28552,13.601470508735444
坑,247,254,34366,5.0
孝,250,242,39152,8.0
抗,240,255,36852,11.180339887498949
攻,249,248,34458,2.23606797749979
更,247,231,44371,19.235384061671343
効,261,254,38153,11.704699910719626
幸,248,238,36700,12.165525060596439
拘,255,247,40115,5.830951894845301
肯,252,246,39297,4.47213595499958
侯,251,251,41302,1.4142135623730951
厚,250,232,45329,18.0
恒,252,246,42575,4.47213595499958
洪,256,245,34386,7.810249675906654
皇,249,268,42873,18.027756377319946
紅,228,259,36386,23.769728648009426
荒,252,237,38619,13.152946437965905
郊,262,236,39377,18.439088914585774
香,248,247,43717,3.605551275463989
候,252,251,43499,2.23606797749979
校,243,248,38017,7.280109889280518
耕,245,242,44868,9.433981132056603
航,240,257,44556,12.206555615733702
貢,250,235,45531,15.0
降,233,240,46039,19.72308292331602
高,251,251,42695,1.4142135623730951
康,253,252,48584,3.605551275463989
控,249,250,42499,1.0
梗,253,242,47882,8.54400374531753
黄,250,246,46320,4.0
喉,239,245,47146,12.083045973594572
慌,250,242,44069,8.0
港,262,250,41578,12.0
硬,252,238,49871,12.165525060596439
絞,237,254,41214,13.601470508735444
項,261,234,41812,19.4164878389476
溝,266,245,48243,16.76305461424021
鉱,237,261,43292,17.029386365926403
構,259,244,52640,10.816653826391969
綱,263,248,53332,13.152946437965905
酵,237,242,52433,15.264337522473747
稿,257,247,47906,7.615773105863909
興,252,238,47398,12.165525060596439
衡,248,248,46228,2.8284271247461903
鋼,265,244,52987,16.15549442140351
講,256,249,52307,6.082762530298219
購,253,242,54487,8.54400374531753
乞,253,260,28182,10.44030650891055
号,255,226,34157,24.515301344262525
合,249,260,33312,10.04987562112089
拷,251,243,42076,7.0710678118654755
剛,245,244,50327,7.810249675906654
傲,248,253,45765,3.605551275463989
豪,243,248,48799,7.280109889280518
克,253,253,36179,4.242640687119285
告,243,255,35802,8.602325267042627
谷,250,264,33574,14.0
刻,261,250,39342,11.0
国,252,244,47011,6.324555320336759
黒,250,236,45199,14.0
穀,242,246,47659,8.94427190999916
酷,236,250,50975,14.0
獄,246,248,46050,4.47213595499958
骨,253,234,41683,16.278820596099706
駒,249,247,48505,3.1622776601683795
込,241,277,29651,28.460498941515414
頃,250,235,44085,15.0
今,260,227,27067,25.079872407968907
困,250,243,46247,7.0
昆,251,247,40838,3.1622776601683795
恨,250,243,43740,7.0
根,251,246,44525,4.123105625617661
婚,250,252,48531,2.0
混,261,252,41533,11.180339887498949
痕,250,256,46069,6.0
紺,243,253,45096,7.615773105863909
魂,262,254,46853,12.649110640673518
墾,250,254,50244,4.0
懇,251,244,48045,6.082762530298219
左,246,270,31989,20.396078054371138
佐,244,262,36553,13.416407864998739
沙,242,250,29023,8.0
査,249,264,45344,14.035668847618199
砂,230,246,37912,20.396078054371138
唆,235,251,44564,15.033296378372908
差,252,260,41538,10.198039027185569
詐,232,245,36982,18.681541692269406
鎖,251,252,47675,2.23606797749979
座,247,264,43282,14.317821063276353
挫,244,261,42782,12.529964086141668
才,251,240,26022,10.04987562112089
