character,G_x,G_y,M,Euclid
嗅,247,251,61048,3.1622776601683795
窮,251,247,61375,3.1622776601683795
牛,237,227,34823,26.419689627245813
去,249,269,42991,19.026297590440446
巨,225,241,48317,26.570660511172846
居,257,243,57304,9.899494936611665
拒,247,248,52521,3.605551275463989
拠,244,255,62915,7.810249675906654
挙,249,240,52404,10.04987562112089
虚,255,265,57181,15.811388300841896
許,231,245,50847,19.6468827043885
距,242,244,60515,10.0
魚,243,252,54657,7.280109889280518
御,261,250,61565,11.0
漁,256,257,54240,9.219544457292887
凶,250,258,50476,8.0
共,249,250,42865,1.0
叫,236,242,44756,16.1245154965971
狂,239,253,46429,11.40175425099138
京,249,243,46816,7.0710678118654755
享,249,236,49282,14.035668847618199
供,244,248,50258,6.324555320336759
協,254,261,57017,11.704699910719626
況,260,246,45384,10.770329614269007
峡,240,249,55199,10.04987562112089
挟,244,250,53363,6.0
狭,243,249,54843,7.0710678118654755
恐,247,243,49063,7.615773105863909
恭,249,246,52924,4.123105625617661
胸,251,251,64626,1.4142135623730951
脅,252,245,54709,5.385164807134504
強,251,254,59561,4.123105625617661
教,243,252,58860,7.280109889280518
郷,253,243,67299,7.615773105863909
境,258,247,58374,8.54400374531753
橋,254,244,65603,7.211102550927978
矯,252,244,67210,6.324555320336759
鏡,250,250,65278,0.0
競,250,248,65664,2.0
響,252,239,68480,11.180339887498949
驚,246,242,61349,8.94427190999916
仰,260,243,51408,12.206555615733702
暁,240,247,61529,10.44030650891055
業,249,250,62408,1.0
凝,259,251,64024,9.055385138137417
曲,249,263,56278,13.038404810405298
局,258,237,56741,15.264337522473747
極,253,252,65893,3.605551275463989
玉,256,257,40961,9.219544457292887
巾,251,243,35644,7.0710678118654755
斤,238,230,36375,23.323807579381203
均,264,243,44414,15.652475842498529
近,254,260,47344,10.770329614269007
金,249,277,52287,27.018512172212592
菌,250,250,67346,0.0
勤,245,249,62190,5.0990195135927845
琴,249,219,59054,31.016124838541646
筋,249,252,57907,2.23606797749979
僅,260,258,64561,12.806248474865697
禁,249,240,59030,10.04987562112089
緊,238,236,64996,18.439088914585774
錦,256,253,64026,6.708203932499369
謹,255,256,66622,7.810249675906654
襟,249,244,62791,6.082762530298219
吟,237,229,44922,24.698178070456937
銀,250,253,65102,3.0
区,225,245,49150,25.495097567963924
句,270,244,44114,20.8806130178211
苦,249,247,53507,3.1622776601683795
駆,244,237,62863,14.317821063276353
